id,trigger,conditions,script,text,options,notes

ltvWlscmpHijack,DialogOptionSelected,"$option == marketVisitBar
$market.policy_wellness_compliance
!$global.ltv_wlscmp_cooldown
RollProbability 0.3 score:100","$option = ltv_wlscmp_intro 0
FireBest DialogOptionSelected",,,WellnessCompliance bar event

ltvWlscmpIntro,DialogOptionSelected,$option == ltv_wlscmp_intro,,"当你走进酒吧时，交谈声显得异常紧张。人们的话说到一半便戛然而止，彼此之间带着一种无声而不安的猜疑，频繁地交换着眼神。",ltv_wlscmp_observe:走向吧台点杯酒,INTRO TEXT

ltvWlscmpObserve,DialogOptionSelected,$option == ltv_wlscmp_observe,,"当你走向吧台时，你注意到顾客们互相投来微妙的目光，还有几个人毫无明显原因地保持着距离。似乎没有人感到轻松。","ltv_wlscmp_ask:询问酒保发生了什么事
ltv_wlscmp_leave:悄悄离开",OBSERVE PATRONS

ltvWlscmpAsk,DialogOptionSelected,$option == ltv_wlscmp_ask,,"他凑过身来，低声说某些区域据说风险较高。他没有详细解释，只是耸了耸肩，又直起身来。酒吧里没有人听到这番公开议论时感到自在。",ltv_wlscmp_leave:离开酒吧,ASK QUESTIONS

ltvWlscmpLeave,DialogOptionSelected,$option == ltv_wlscmp_leave,"$global.ltv_wlscmp_cooldown = true 60
$option = gaKA_hegJustLeave 0
FireBest DialogOptionSelected","你决定最好别卷入其中，于是转身走开了。",,LEAVE



bresVitalis_button,AddBarEvents,"$market.policy_bres_vitalis
!$global.ltv_bresvitalis_cooldown
!$global.isDevMode
RollProbability 0.15",,"余光中，你注意到一名男子瘫倒在一张堆满罐头的桌子旁，而店员似乎对他视而不见。",bresVitalis_start:检查那个睡在罐头山旁边的男人,BresVitalis bar event (normal)

bresVitalis_button_debug,AddBarEvents,"$market.policy_bres_vitalis
!$global.ltv_bresvitalis_cooldown
$global.isDevMode",,"余光中，你注意到一名男子瘫倒在一张堆满罐头的桌子旁，而店员似乎对他视而不见。",bresVitalis_start:检查那个睡在罐头山旁边的男人,BresVitalis bar event (debug)

bresVitalis_start,DialogOptionSelected,$option == bresVitalis_start,$global.ltv_bresvitalis_cooldown = true 60,"你走近那名男子，注意到桌上堆满了数十个发光的“维塔利斯之酿”罐头。","bresVitalis_call:呼叫医务室来帮助他
bresVitalis_leave:别管他",

bresVitalis_call,DialogOptionSelected,$option == bresVitalis_call,AdjustRep independent COOPERATIVE 1,"你叫醒那名男子，并呼叫了医疗援助。医务人员迅速赶到，将他送往最近的医务室。",barHRE_goToNormalBar:继续,

bresVitalis_leave,DialogOptionSelected,$option == bresVitalis_leave,,"你决定最好别卷入其中，让那名男子继续他的小憩。",barHRE_goToNormalBar:继续,



convergence_festival_flavor,AddBarEvents,"$market.policy_convergence_festival
!$global.isDevMode
RollProbability 0.5",FireBest ConvergenceFestivalStart,"酒吧里装饰着五彩缤纷的横幅和全息显示屏，庆祝着汇聚节。顾客们欢呼雀跃，沉浸在节日氛围中。",,The flavor text without the actual event

convergence_festival_start,ConvergenceFestivalStart,"!$global.ltv_convergence_festival_cooldown
!$global.isDevMode
RollProbability 0.2",,"你的目光锁定在人群中一位节日表演者身上。
他显得紧张而疲惫，从自己的摊位紧张地扫视着人群。",ConvergenceFestivalApproach:接近那位汇聚节表演者,

